date,module,count
2026-06-24,aerospike,2
2026-06-24,arangodb,3
2026-06-24,artemis,2
2026-06-24,azure,18
2026-06-24,azurite,2
2026-06-24,cassandra,17
2026-06-24,chroma,10
2026-06-24,clickhouse,69
2026-06-24,cockroachdb,19
2026-06-24,compose,331
2026-06-24,consul,13
2026-06-24,couchbase,7
2026-06-24,databend,0
2026-06-24,dex,0
2026-06-24,dind,1
2026-06-24,dockermcpgateway,6
2026-06-24,dockermodelrunner,20
2026-06-24,dolt,8
2026-06-24,dynamodb,30
2026-06-24,elasticsearch,39
2026-06-24,etcd,13
2026-06-24,forgejo,1
2026-06-24,gcloud,39
2026-06-24,grafana-lgtm,4
2026-06-24,inbucket,3
2026-06-24,influxdb,2
2026-06-24,k3s,75
2026-06-24,k6,2
2026-06-24,kafka,245
2026-06-24,localstack,130
2026-06-24,mariadb,31
2026-06-24,meilisearch,2
2026-06-24,memcached,4
2026-06-24,milvus,9
2026-06-24,minio,162
2026-06-24,mockserver,1
2026-06-24,mongodb,352
2026-06-24,mssql,35
2026-06-24,mysql,351
2026-06-24,nats,94
2026-06-24,nebulagraph,0
2026-06-24,neo4j,14
2026-06-24,ollama,11
2026-06-24,openfga,12
2026-06-24,openldap,4
2026-06-24,opensearch,17
2026-06-24,pinecone,1
2026-06-24,postgres,1748
2026-06-24,pulsar,2
2026-06-24,qdrant,16
2026-06-24,rabbitmq,127
2026-06-24,redis,668
2026-06-24,redpanda,78
2026-06-24,registry,20
2026-06-24,scylladb,8
2026-06-24,socat,20
2026-06-24,solace,0
2026-06-24,surrealdb,1
2026-06-24,tidb,1
2026-06-24,toxiproxy,10
2026-06-24,valkey,40
2026-06-24,vault,34
2026-06-24,vearch,0
2026-06-24,weaviate,19
2026-06-24,yugabytedb,2
2026-07-02,aerospike,2
2026-07-02,arangodb,2
2026-07-02,artemis,2
2026-07-02,azure,19
2026-07-02,azurite,2
2026-07-02,cassandra,17
2026-07-02,chroma,9
2026-07-02,clickhouse,69
2026-07-02,cockroachdb,18
2026-07-02,compose,345
2026-07-02,consul,14
2026-07-02,couchbase,6
2026-07-02,databend,0
2026-07-02,dex,0
2026-07-02,dind,1
2026-07-02,dockermcpgateway,6
2026-07-02,dockermodelrunner,20
2026-07-02,dolt,8
2026-07-02,dynamodb,30
2026-07-02,elasticsearch,38
2026-07-02,etcd,13
2026-07-02,forgejo,2
2026-07-02,gcloud,36
2026-07-02,grafana-lgtm,3
2026-07-02,inbucket,3
2026-07-02,influxdb,2
2026-07-02,k3s,70
2026-07-02,k6,2
2026-07-02,kafka,227
2026-07-02,localstack,131
2026-07-02,mariadb,31
2026-07-02,meilisearch,2
2026-07-02,memcached,3
2026-07-02,milvus,8
2026-07-02,minio,177
2026-07-02,mockserver,1
2026-07-02,mongodb,348
2026-07-02,mssql,34
2026-07-02,mysql,324
2026-07-02,nats,94
2026-07-02,neo4j,14
2026-07-02,ollama,11
2026-07-02,openfga,12
2026-07-02,openldap,4
2026-07-02,opensearch,15
2026-07-02,pinecone,1
2026-07-02,postgres,1612
2026-07-02,pulsar,1
2026-07-02,qdrant,16
2026-07-02,rabbitmq,139
2026-07-02,redis,656
2026-07-02,redpanda,74
2026-07-02,registry,20
2026-07-02,scylladb,8
2026-07-02,socat,20
2026-07-02,solace,0
2026-07-02,surrealdb,1
2026-07-02,tidb,1
2026-07-02,toxiproxy,10
2026-07-02,valkey,41
2026-07-02,vault,32
2026-07-02,vearch,0
2026-07-02,weaviate,18
2026-07-02,yugabytedb,2
